Surname,PhD or Highest Degree,Research Domain 1,Research Domain 2,Research Domain 3,Academic Discipline
Strachan,Engineering & Public Policy,Energy Systems,Climate & Energy Policy,Technology Policy & Innovation,Engineering
Sugiyama,Applied Physics,Climate & Energy Policy,Energy Systems,,"Physical, Natural & Applied Sciences"
Suh,Engineering,Environmental Engineering,Environmental Impact & Risk Assessment,,Engineering
Suliman,MD,,,,MD
Tanaka,Engineering,Environmental Engineering,Energy Systems,Climate & Energy Policy,Engineering
Tavoni,Economics,Energy Systems,Environmental & Climate Economics,Climate & Energy Policy,Economics
Tengfei,Management Science,,,,Social Sciences
Tiwari,Transport Planning & Policy,Urban Planning,Transport Engineering,Sustainable Development,Social Sciences
Torres-Martínez,Physics*,Energy Systems,,,"Physical, Natural & Applied Sciences"
Toth,Economics,Energy Systems,Climate & Energy Policy,,Economics
Tubiello,Chemistry,Biophysical & Ecological Modelling,Environmental Impact & Risk Assessment,Climate & Energy Policy,"Physical, Natural & Applied Sciences"
Uddin,MD,,,,MD
Urama,Economics,Economics,,,Economics
Ürge-Vorsatz,Environmental Sciences & Engineering,Climate & Energy Policy,Climate & Energy Policy,Energy Systems,Engineering
Van-der-Zwaan,Physics,Climate & Energy Policy,Environmental & Climate Economics,Energy Systems,Environmental Sciences
Van-Vuuren,Energy Systems,Energy Systems,Climate & Energy Policy,,Engineering
Venables,Economics,Development Economics,,,Economics
Verbruggen,Applied Economics,Energy Systems,Environmental & Climate Economics,,Economics
Victor,Political Science,Environmental Policy,Climate & Energy Policy,,Social Sciences
Vilariño,Investment Management,Climate & Energy Policy,Environmental Policy,,Social Sciences
Weber,Psychology,Behavioural Economics/Psycology,Environmental Impact & Risk Assessment,,Social Sciences
Weyant,Management Science,Energy Systems,Environmental Policy,Environmental Engineering,Engineering
Wiener,Law,Climate & Energy Policy,Environmental Impact & Risk Assessment,Environmental Policy,Social Sciences
Winkler,Energy & Resources,Climate & Energy Policy,Energy Systems,,Social Sciences
Wiser,Energy & Resources,Environmental & Climate Economics,Energy Systems,Climate & Energy Policy,Engineering
Yamaguchi,Economics,Climate & Energy Policy,,,Economics
Yamba,Mechanical Engineering,Energy Systems,Environmental Impact & Risk Assessment,,Engineering
Yetano-Roche,Environmental Technology,Environmental Engineering,Technology Policy & Innovation,,Engineering
Zain-Ahmed,Energy in Buildings,Engineering,Energy Systems,Technology Policy & Innovation,Engineering
Zatari,Environmental Engineering,Environmental Engineering,,,Engineering
Zhang,Engineering & Management Science,Climate & Energy Policy,Energy Systems,Technology Policy & Innovation,Engineering
"Zhou, Dadi",Engineering,Environmental Engineering,,,Engineering
"Zhou, Peter",Applied Geophysics,Energy Systems,Technology Policy & Innovation,,"Physical, Natural & Applied Sciences"
Zou,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Zycliz,Economics,Environmental & Climate Economics,,,Economics
,,,,,
,,,,,
"* In spite of not being able to document (through CVs, websites or direct email query) the nature of their highest degree qualifications, we have attributed an academic profile to these authors because of their central role in co-authoring networks based on the following reasoning:",,,,,
Riahi (Economics),"Based on the principal disciplinary description at the IIASA and Research Gate websites, namely ""energy economics"" and ""environmental economics"", respectively we have attributed him an economics academic profile.",,,,
Shukla (Engineering) ,"Based on the fact that his PhD in Stanford was developed in the Institute of Industrial Engineering and Engineering Management, and the fact that his latest peer-reviewed journal publications found in the CV focus on greenhouse gas emission scenarios and inventories, we have attributed him an engineering academic profile.",,,,
